County,Facility Name,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
MECOSTA,Altercare of Big Rapids,0.0,0.0,0.0,0.0
MENOMINEE,Menominee Health Services,0.0,0.0,1.0,0.0
MENOMINEE,Pinecrest Medical Care Facility,0.0,0.0,0.0,0.0
MENOMINEE,Roubal Care & Rehab. Center,0.0,0.0,0.0,0.0
MIDLAND,Medilodge of Midland,0.0,0.0,2.0,0.0
MIDLAND,Midland King's Daughters Home,0.0,0.0,1.0,0.0
MIDLAND,Stratford Pines ,0.0,0.0,0.0,0.0
MISSAUKEE,Autumnwood of McBain,0.0,0.0,0.0,0.0
MONROE,Hickory Ridge of Temperance,0.0,0.0,2.0,0.0
MONROE,IHM Senior Living Community,0.0,0.0,5.0,0.0
MONROE,Promedica Monroe Skilled Nursing & Rehab,0.0,0.0,1.0,0.0
MONROE,Wellspring Lutheran Services Monroe,0.0,0.0,1.0,0.0
MONTCALM,Spectrum Health RNC - Kelsey Hospital,0.0,0.0,0.0,0.0
MANISTEE,Manistee County Medical Care Facility,0.0,0.0,0.0,0.0
MONTCALM,Spectrum Health RNC - United Hospital,0.0,0.0,1.0,0.0
MONTMORENCY,MediLodge of Hillman,0.0,0.0,0.0,0.0
MUSKEGON,Christian Care Nursing Center,0.0,0.0,0.0,0.0
MUSKEGON,Hillcrest Nursing & Rehab Community,0.0,0.0,1.0,0.0
MUSKEGON,SKLD Whitehall,0.0,0.0,3.0,0.0
OAKLAND,Catherine's Place,0.0,0.0,2.0,0.0
OAKLAND,Clarkston Specialty Healthcare Center,0.0,0.0,2.0,0.0
OAKLAND,Fox Run Village,0.0,3.0,13.0,0.0
OAKLAND,Greenfield Rehab & Nursing Center,0.0,0.0,8.0,0.0
OAKLAND,Maple Manor Rehab Center of Novi,0.0,0.0,4.0,0.0
OAKLAND,Novi Lakes Health Campus,0.0,0.0,7.0,0.0
OAKLAND,Oakland Manor Nursing Rehab Center,0.0,0.0,0.0,0.0
OAKLAND,South Lyon Senior Care and Rehab,0.0,0.0,2.0,0.0
OAKLAND,The Neighborhoods at White Lake,0.0,0.0,0.0,0.0
ALCONA,Lincoln Haven Nursing & Rehab. Community,0.0,0.0,1.0,0.0
MACOMB,Windemere Park Health and Rehab Center,0.0,0.0,7.0,0.0
ISABELLA,Laurels of Mt. Pleasant (The),0.0,0.0,1.0,0.0
KENT,The Oaks at Byron Center,0.0,0.0,4.0,0.0
JACKSON,Allegra Nursing and Rehab,0.0,0.0,2.0,0.0
JACKSON,Faith Haven Senior Care Centre,0.0,0.0,1.0,0.0
JACKSON,Jackson County Medical Care Facility ,0.0,0.0,2.0,0.0
JACKSON,Vista Grande Villa,0.0,0.0,2.0,0.0
KALAMAZOO,Alamo Nursing Home,0.0,0.0,5.0,0.0
KALAMAZOO,Borgess Gardens,0.0,0.0,3.0,0.0
KALAMAZOO,Friendship Village,0.0,0.0,4.0,0.0
KALAMAZOO,Medilodge of Portage,0.0,0.0,1.0,0.0
KALAMAZOO,Medilodge of Westwood,0.0,0.0,1.0,0.0
KALAMAZOO,The Springs at the Fountains,0.0,0.0,1.0,0.0
KALKASKA,Kalkaska Memorial Health Center LTC,0.0,0.0,1.0,0.0
KENT,Clark Retirement Community,0.0,0.0,2.0,0.0
KENT,SKLD Leonard,0.0,0.0,1.0,0.0
KENT,Spectrum Health Rehab & Nrsg Fuller,0.0,0.0,7.0,0.0
KENT,Valley Health Center,0.0,0.0,0.0,0.0
MACOMB,Orchard Grove Health Campus,0.0,0.0,4.0,0.0
KENT,Valley View Care Center,0.0,0.0,1.0,0.0
LAKE,Grand Oaks Nursing Center,0.0,0.0,2.0,0.0
LAPEER,McLaren Lapeer Region Extended Care,0.0,0.0,2.0,0.0
LAPEER,Stonegate Health Campus,0.0,0.0,4.0,0.0
LEELANAU,Maple Valley Nursing Home,0.0,0.0,0.0,0.0
LEELANAU,Medilodge of Leelanau,0.0,0.0,0.0,0.0
LEELANAU,Orchard Creek Skilled Nursing,0.0,0.0,4.0,0.0
LENAWEE,Provincial House of Adrian,0.0,0.0,3.0,0.0
LIVINGSTON,MediLodge of Howell,0.0,0.0,1.0,0.0
LIVINGSTON,~Medilodge of Livingston~,0.0,0.0,0.0,0.0
LIVINGSTON,Wellbridge of Pinckney ,0.0,0.0,2.0,0.0
LUCE,Helen Newberry Joy Hospital LTCU,0.0,0.0,0.0,0.0
MACKINAC,Mackinac Straits Long Term Care Unit,0.0,0.0,1.0,0.0
MACOMB,Lakeside Manor Nursing & Rehab Center,0.0,2.0,1.0,0.0
MARQUETTE,Eastwood Nursing Center,0.0,0.0,3.0,0.0
EMMET,Hiland Cottage,,,,
KENT,Trilogy Healthcare Of Belmont,,,,
