Facility Name,Facility Name Normalized,Unnamed: 2,Changes,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score
Lemont Center,LEMONT CENTER,OK,,LEMONT CENTER,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEMONT CENTER,100
Lexington Health Care Center of Chicago Ridge,LEXINGTON HEALTH CARE CENTER OF CHICAGO RIDGE,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABINGTON OF GLENVIEW,86
Lexington Health Care Orland Park,LEXINGTON HEALTH CARE ORLAND PARK,OK,,LEXINGTON HEALTH CARE ORLAND PARK,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEXINGTON HEALTH CARE ORLAND PARK,100
Lexington Healthcare of La Grange,LEXINGTON HEALTHCARE OF LA GRANGE,OK,,LEXINGTON HEALTHCARE OF LA GRANGE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEXINGTON HEALTHCARE OF LA GRANGE,100
Lexington Healthcare of La Grange,LEXINGTON HEALTHCARE OF LA GRANGE,Dup,,LEXINGTON HEALTHCARE OF LA GRANGE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEXINGTON HEALTHCARE OF LA GRANGE,100
Lexington Of Chicago Ridge,LEXINGTON OF CHICAGO RIDGE,Dup,,LEXINGTON OF CHICAGO RIDGE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEXINGTON OF CHICAGO RIDGE,100
Lexington healthcare of Schaumburg,LEXINGTON HEALTHCARE OF SCHAUMBURG,OK,,LEXINGTON HEALTHCARE OF SCHAUMBURG,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEXINGTON HEALTHCARE OF SCHAUMBURG,100
Lexington of Chicago Ridge,LEXINGTON OF CHICAGO RIDGE,OK,,LEXINGTON OF CHICAGO RIDGE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEXINGTON OF CHICAGO RIDGE,100
Lieberman Geriatric Center,LIEBERMAN GERIATRIC CENTER,OK,,LIEBERMAN GERIATRIC CENTER,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIEBERMAN GERIATRIC CENTER,100
Lincolnwood Place,LINCOLNWOOD PLACE,OK,,LINCOLNWOOD PLACE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLNWOOD PLACE,100
Little Sisters of the Poor/St. Marys Home,LITTLE SISTERS OF THE POOR/ST. MARYS HOME,OK,,LITTLE SISTERS OF THE POOR/ST. MARYS HOME,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LITTLE SISTERS OF THE POOR/ST. MARYS HOME,100
Little Village Nursing Home,LITTLE VILLAGE NURSING HOME,OK,,LITTLE VILLAGE NURSING HOME,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LITTLE VILLAGE NURSING HOME,100
Little Village Nursing Home,LITTLE VILLAGE NURSING HOME,Dup,,LITTLE VILLAGE NURSING HOME,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LITTLE VILLAGE NURSING HOME,100
Ludeman Center,LUDEMAN CENTER,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
Ludeman Developmental Center,LUDEMAN DEVELOPMENTAL CENTER,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
Lutheran Home,LUTHERAN HOME,OK,,LUTHERAN HOME,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUTHERAN HOME FOR THE AGED,90
Lutheran Home,LUTHERAN HOME,Dup,,LUTHERAN HOME,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUTHERAN HOME FOR THE AGED,90
Lydia Health Care Center,LYDIA HEALTH CARE CENTER,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
MADO Healthcare Uptown,MADO HEALTHCARE UPTOWN,OK,,MADO HEALTHCARE UPTOWN,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MADO HEALTHCARE UPTOWN,100
MacNeal Memorial Hospital Rehab/LTC,MACNEAL MEMORIAL HOSPITAL REHAB/LTC,OK,,MACNEAL MEMORIAL HOSPITAL REHAB/LTC,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MACNEAL MEMORIAL HOSPITAL REHAB/LTC,100
Madden Mental Health Center,MADDEN MENTAL HEALTH CENTER,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
Manor Care Health Services- Palos Heights West,MANORCARE HEALTH SERVICES- PALOS HEIGHTS WEST,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANORCARE HEALTH SERVICES-PALOS HEIGHTS WEST,99
Manor Care Health Services-Homewood,MANORCARE HEALTH SERVICES-HOMEWOOD,OK,,MANORCARE HEALTH SERVICES-HOMEWOOD,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANORCARE HEALTH SERVICES-HOMEWOOD,100
Manor Care Oak Lawn EAST. Cook,MANOR CARE OAK LAWN EAST. COOK,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
Manor Care Palos Heights East,MANOR CARE PALOS HEIGHTS EAST,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANORCARE PALOS HEIGHTS EAST,98
Manor Care at Arlington Heights,MANOR CARE AT ARLINGTON HEIGHTS,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANORCARE OF ARLINGTON HEIGHTS,92
ManorCare ElkGrove Village,MANORCARE ELKGROVE VILLAGE,OK,,MANORCARE ELKGROVE VILLAGE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANORCARE ELKGROVE VILLAGE,100
ManorCare Health Services-Palos Heights West,MANORCARE HEALTH SERVICES-PALOS HEIGHTS WEST,OK,,MANORCARE HEALTH SERVICES-PALOS HEIGHTS WEST,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANORCARE HEALTH SERVICES-PALOS HEIGHTS WEST,100
ManorCare Oak Lawn West,MANORCARE OAK LAWN WEST,OK,,MANORCARE OAK LAWN WEST,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANORCARE OAK LAWN WEST,100
ManorCare Palos Heights East,MANORCARE PALOS HEIGHTS EAST,OK,,MANORCARE PALOS HEIGHTS EAST,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANORCARE PALOS HEIGHTS EAST,100
Margaret Manor Central,MARGARET MANOR CENTRAL,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
Marklund Wasmond Center,MARKLUND WASMOND CENTER,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
Mayfield Care Center,MAYFIELD CARE CENTER,OK,,MAYFIELD CARE CENTER,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAYFIELD CARE CENTER,100
Meadowbrook Manor,MEADOWBROOK MANOR,OK,,MEADOWBROOK MANOR,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOWBROOK MANOR - LAGRANGE,90
Meadowbrook Manor,MEADOWBROOK MANOR,Dup,,MEADOWBROOK MANOR,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOWBROOK MANOR - LAGRANGE,90
Mercy Circle,MERCY CIRCLE,OK,,MERCY CIRCLE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERCY CIRCLE,100
Mercy Circle,MERCY CIRCLE,Dup,,MERCY CIRCLE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERCY CIRCLE,100
Midway Neuro and Rehab,MIDWAY NEURO AND REHABILITATION,OK,,MIDWAY NEURO AND REHABILITATION,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDWAY NEURO AND REHABILITATION,100
Misericordia,MISERICORDIA,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREEK AMERICAN REHABILITATION AND CARE,52
Misericordia,MISERICORDIA,Dup,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREEK AMERICAN REHABILITATION AND CARE,52
Misericordia - Marian Center,MISERICORDIA - MARIAN CENTER,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
Montclare Supportive Living,MONTCLARE SUPPORTIVE LIVING,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLYMOUTH PLACE SENIOR LIVING,62
Montgomery Place,MONTGOMERY PLACE,OK,,MONTGOMERY PLACE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTGOMERY PLACE,100
Mosaic of Lakeshore,MOSAIC OF LAKESHORE,OK,,MOSAIC OF LAKESHORE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOSAIC OF LAKESHORE,100
New City Supportive Living,NEW CITY SUPPORTIVE LIVING,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTORIA PLACE LIVING AND REHABILITATION,86
Niles Nursing and Rehab Center,NILES NURSING AND REHABILITATION CENTER,OK,,NILES NURSING AND REHABILITATION CENTER,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NILES NURSING AND REHABILITATION CENTER,100
Norridge Gardens,NORRIDGE GARDENS,OK,,NORRIDGE GARDENS,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORRIDGE GARDENS,100
North Shore Place,NORTH SHORE PLACE,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTORIA PLACE LIVING AND REHABILITATION,86
North Shore Place,NORTH SHORE PLACE,Dup,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTORIA PLACE LIVING AND REHABILITATION,86
Northbrook Inn Memory Care,NORTHBROOK INN MEMORY CARE,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
Norwood crossing Skilled Nursing,NORWOOD CROSSING SKILLED NURSING,OK,,NORWOOD CROSSING SKILLED NURSING,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORWOOD CROSSING SKILLED NURSING,100
Oak Lawn Respiratory and Rehab,OAK LAWN RESPIRATORY AND REHABILITATION,OK,,OAK LAWN RESPIRATORY AND REHABILITATION,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK LAWN RESPIRATORY AND REHABILITATION,100
Oak Park Arms,OAK PARK ARMS,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF ORLAND PARK,86
Oak Park Brookdale,OAK PARK BROOKDALE,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF ORLAND PARK,86
Oak Park Brookdale,OAK PARK BROOKDALE,Dup,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF ORLAND PARK,86
Oak Park Oasis,OAK PARK OASIS,OK,,OAK PARK OASIS,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK PARK OASIS,100
Oasis,OASIS,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUSTIN OASIS,90
PACTT Learning -Oak Park,PACTT LEARNING - OAK PARK,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK LAWN RESPIRATORY AND REHABILITATION,86
Palos Heights Nursing and Rehab,PALOS HEIGHTS NURSING AND REHABILITATION,OK,,PALOS HEIGHTS NURSING AND REHABILITATION,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALOS HEIGHTS NURSING AND REHABILITATION,100
Palos Hills Healthcare,PALOS HILLS HEALTHCARE,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARMONY HEALTHCARE AND REHABILITATION,86
Park Lawn Residential Center,PARK LAWN RESIDENTIAL CENTER,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
Park View Rehab,PARK VIEW REHABILITATION,OK,,PARK VIEW REHABILITATION,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARK VIEW REHABILITATION,100
Parkshore Estates,PARKSHORE ESTATES,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARKSHORE ESTATES NURSING AND REHABILITATION,90
Pauls House,PAULS HOUSE,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAULS HOUSE AND HEALTHCARE CENTER,90
Pauls House and Healthcare Center,PAULS HOUSE AND HEALTHCARE CENTER,OK,,PAULS HOUSE AND HEALTHCARE CENTER,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAULS HOUSE AND HEALTHCARE CENTER,100
Pearl of Rolling Meadows,PEARL OF ROLLING MEADOWS,OK,,PEARL OF ROLLING MEADOWS,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEARL OF ROLLING MEADOWS,100
Pershing Garden,PERSHING GARDEN,OK,,PERSHING GARDEN,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSHING GARDEN,100
Peterson Park Health Care,PETERSON PARK HEALTH CARE,OK,,PETERSON PARK HEALTH CARE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PETERSON PARK HEALTH CARE,100
Peterson Park Health Care,PETERSON PARK HEALTH CARE,Dup,,PETERSON PARK HEALTH CARE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PETERSON PARK HEALTH CARE,100
Pine Crest Healthcare,PINE CREST HEALTHCARE,OK,,PINE CREST HEALTHCARE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PINE CREST HEALTHCARE,100
Pioneer Gardens,PIONEER GARDENS,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CALIFORNIA GARDENS NURSING AND REHABILITATION CENTER,86
Plymouth Place Senior Living,PLYMOUTH PLACE SENIOR LIVING,OK,,PLYMOUTH PLACE SENIOR LIVING,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLYMOUTH PLACE SENIOR LIVING,100
Praire Oasis South Holland,PRAIRE OASIS SOUTH HOLLAND,OK,,PRAIRE OASIS SOUTH HOLLAND,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRAIRE OASIS SOUTH HOLLAND,100
Prairie Green at Dixie Crossing,PRAIRIE GREEN AT DIXIE CROSSING,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON AT THE LAKE,86
Prairie Green at Fays Point,PRAIRIE GREEN AT FAYS POINT,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYMPHONY AT 87TH,86
Prairie Manor Rehab and Nursing,PRAIRIE MANOR REHABILITATION AND NURSING,OK,,PRAIRIE MANOR REHABILITATION AND NURSING,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRAIRIE MANOR REHABILITATION AND NURSING,100
Presbyterian Westminster Homes,PRESBYTERIAN WESTMINSTER HOMES,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTMINSTER PLACE,86
Presence Bethlehem Woods,PRESENCE BETHLEHEM WOODS,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENCE RESURRECTION RETIREMENT COMMUNITY,86
Presence MaryHaven,PRESENCE MARYHAVEN,OK,,PRESENCE MARYHAVEN,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENCE MARYHAVEN,100
Presence Maryhaven,PRESENCE MARYHAVEN,Dup,,PRESENCE MARYHAVEN,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENCE MARYHAVEN,100
Presence Nazarethville,PRESENCE NAZARETHVILLE,OK,,PRESENCE NAZARETHVILLE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENCE NAZARETHVILLE,100
Presence Nazarethville,PRESENCE NAZARETHVILLE,Dup,,PRESENCE NAZARETHVILLE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENCE NAZARETHVILLE,100
Presence Resurrection Life Center,PRESENCE RESURRECTION LIFE CENTER,OK,,PRESENCE RESURRECTION LIFE CENTER,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENCE RESURRECTION LIFE CENTER,100
Presence Resurrection Retirement Community,PRESENCE RESURRECTION RETIREMENT COMMUNITY,OK,,PRESENCE RESURRECTION RETIREMENT COMMUNITY,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENCE RESURRECTION RETIREMENT COMMUNITY,100
Presence St. Benedict,PRESENCE ST. BENEDICT,OK,,PRESENCE ST. BENEDICT,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENCE ST. BENEDICT,100
Presence Villa Scalabrini Nursing&Rehab Center,PRESENCE VILLA SCALABRINI NURSING AND REHABILITATION CENTER,OK,,PRESENCE VILLA SCALABRINI NURSING AND REHABILITATION CENTER,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENCE VILLA SCALABRINI NURSING AND REHABILITATION CENTER,100
Progressive Housing,PROGRESSIVE HOUSING,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARKSHORE ESTATES NURSING AND REHABILITATION,54
RML Specialty Hospital Hinsdale,RML SPECIALTY HOSPITAL HINSDALE,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MACNEAL MEMORIAL HOSPITAL REHAB/LTC,61
Resurrection Nursing & rehab Center,RESURRECTION NURSING AND REHABILITATION CENTER,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NILES NURSING AND REHABILITATION CENTER,87
Revere Court of South Barrington,REVERE COURT OF SOUTH BARRINGTON,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABINGTON OF GLENVIEW,86
Selfhelp Home,SELFHELP HOME,OK,,SELFHELP HOME,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELFHELP HOME,100
Sheridan Village,SHERIDAN VILLAGE,OK,,SHERIDAN VILLAGE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHERIDAN VILLAGE,100
Skokie Meadows,SKOKIE MEADOWS,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF SKOKIE,86
Smith Village,SMITH VILLAGE,#REF!,,SMITH VILLAGE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMITH VILLAGE,100
Southpoint Nsg and Rehab,SOUTHPOINT NURSING AND REHABILITATION,#REF!,,SOUTHPOINT NURSING AND REHABILITATION,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTHPOINT NURSING AND REHABILITATION,100
Southview Manor,SOUTHVIEW MANOR,OK,,SOUTHVIEW MANOR,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTHVIEW MANOR,100
St Joseph Home For the Elderly,ST JOSEPH HOME FOR THE ELDERLY,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BALMORAL HOME,86
St. Joseph Village of Chicago,ST. JOSEPH VILLAGE OF CHICAGO,OK,,ST. JOSEPH VILLAGE OF CHICAGO,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST. JOSEPH VILLAGE OF CHICAGO,100
St. Mary of Providence in Chicago,ST. MARY OF PROVIDENCE IN CHICAGO,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABINGTON OF GLENVIEW,86
Summit of Uptown,SUMMIT OF UPTOWN,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF BARRINGTON,86
Sunrise Palos Park,SUNRISE PALOS PARK,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF ORLAND PARK,86
Sunrise of Lincoln Park,SUNRISE OF LINCOLN PARK,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE INTERNATIONAL OF CHICAGO,86
Sunrise of Park Ridge,SUNRISE OF PARK RIDGE,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN LINCOLN PARK REHABILITATION,86
Sunrise of Schaumburg,SUNRISE OF SCHAUMBURG,#REF!,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE INTERNATIONAL OF CHICAGO,86
Symphony Residences at Lincoln Park,SYMPHONY RESIDENCES AT LINCOLN PARK,#REF!,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYMPHONY OF LINCOLN PARK,88
