,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel ,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents  - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel ,Reason for Not Testing Residents  - Uncertainty About Reimbursement,Reason for Not Testing Residents  - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel ,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel  - Lack of Access to Trained Personnel ,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation,Reporting Interval
92574,2020-12-13,145388,HELIA HEALTHCARE OF OLNEY,410 EAST MACK,OLNEY,IL,62450,Y,N,3.0,4.0,38.0,65.0,,6.0,0.0,8.0,0.0,1.0,118.0,80.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,57.0,109.0,,4.0,18.0,0.0,14.0,0.0,0.0,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,,,,,475.0,0.0,812.5,12.5,1.5,Richland,Y,N,POINT (-88.079877 38.745885),Week 30 - Dec 13
92588,2020-12-13,145290,INTEGRITY HC OF BELLEVILLE,727 NORTH 17TH STREET,BELLEVILLE,IL,62226,N,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,St. Clair,,,POINT (-90.001871 38.524327),Week 30 - Dec 13
92598,2020-12-13,145275,TIMBERCREEK REHAB & HEALTHCARE CENTER,2220 STATE STREET,PEKIN,IL,61554,Y,Y,3.0,42.0,0.0,37.0,,29.0,1.0,32.0,0.0,16.0,202.0,68.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,64.0,,0.0,9.0,0.0,14.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,544.1,235.3,43.2,Tazewell,N,N,POINT (-89.615976 40.572559),Week 30 - Dec 13
92615,2020-12-13,145441,SHELBYVILLE MANOR,1111 WEST NORTH 12TH STREET,SHELBYVILLE,IL,62565,Y,Y,0.0,9.0,0.0,52.0,,1.0,0.0,19.0,0.0,11.0,109.0,49.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,1.0,3.0,,1.0,58.0,0.0,26.0,0.0,0.0,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,,,,,0.0,0.0,1061.2,224.5,21.2,Shelby,N,N,POINT (-88.806627 39.419926),Week 30 - Dec 13
92648,2020-12-13,145433,GROVE OF ST CHARLES,611 ALLEN LANE,ST CHARLES,IL,60174,Y,Y,0.0,1.0,3.0,17.0,,26.0,0.0,12.0,0.0,3.0,120.0,89.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,23.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,33.7,0.0,191.0,33.7,17.6,Kane,Y,N,POINT (-88.30782 41.924288),Week 30 - Dec 13
92654,2020-12-13,145171,ELEVATE CARE NORTHBROOK,270 SKOKIE HIGHWAY,NORTHBROOK,IL,60062,Y,Y,0.0,35.0,0.0,78.0,,0.0,0.0,26.0,0.0,20.0,298.0,207.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,3.0,64.0,0.0,78.0,0.0,0.0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1.0,0.0,Y,Y,0.0,0.0,376.8,96.6,25.6,Cook,N,N,POINT (-87.798317 42.147767),Week 30 - Dec 13
92765,2020-12-13,145538,BEECHER MANOR NRSG & REHAB CTR,1201 DIXIE HIGHWAY,BEECHER,IL,60401,Y,Y,4.0,16.0,0.0,54.0,,48.0,2.0,61.0,0.0,17.0,130.0,72.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,7.0,35.0,,1.0,38.0,0.0,46.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,750.0,236.1,31.5,Will,N,N,POINT (-87.621357 41.354155000000006),Week 30 - Dec 13
92785,2020-12-13,145557,ALDEN ESTATES OF BARRINGTON,1420 SOUTH BARRINGTON ROAD,BARRINGTON,IL,60010,Y,Y,2.0,3.0,14.0,38.0,,4.0,3.0,4.0,1.0,2.0,150.0,115.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,23.0,5.0,,8.0,36.0,0.0,4.0,0.0,0.0,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,29.0,0.0,Y,Y,121.7,8.7,330.4,17.4,5.3,Cook,Y,N,POINT (-88.13619 42.133069),Week 30 - Dec 13
92863,2020-12-13,145266,FONDULAC REHABILITATION & HCC,901 ILLINI DRIVE,EAST PEORIA,IL,61611,Y,Y,1.0,1.0,0.0,48.0,,0.0,3.0,13.0,3.0,5.0,98.0,58.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,25.0,0.0,1.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,51.7,827.6,86.2,10.4,Tazewell,N,N,POINT (-89.535729 40.677917),Week 30 - Dec 13
92908,2020-12-13,145593,MANORCARE OF LIBERTYVILLE,1500 SOUTH MILWAUKEE AVENUE,LIBERTYVILLE,IL,60048,Y,Y,3.0,11.0,7.0,30.0,,80.0,0.0,7.0,0.0,2.0,150.0,108.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,23.0,32.0,,9.0,36.0,0.0,54.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,64.8,0.0,277.8,18.5,6.7,Lake,Y,N,POINT (-87.947822 42.25775),Week 30 - Dec 13
92951,2020-12-13,145603,ACCOLADE HC OF PAXTON ON PELLS,1001 EAST PELLS STREET,PAXTON,IL,60957,Y,Y,0.0,21.0,0.0,28.0,,0.0,0.0,16.0,0.0,3.0,106.0,92.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,86.0,9.0,,2.0,22.0,0.0,9.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,304.3,32.6,10.7,Ford,N,N,POINT (-88.082394 40.459041),Week 30 - Dec 13
93009,2020-12-13,145517,WHITE OAK REHABILITATION & HCC,1700 WHITE STREET,MOUNT VERNON,IL,62864,Y,Y,0.0,4.0,0.0,1.0,,1.0,0.0,10.0,0.0,0.0,65.0,34.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,5.0,165.0,,0.0,10.0,0.0,6.0,0.0,0.0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,29.4,0.0,0.0,Jefferson,N,N,POINT (-88.91099 38.321061),Week 30 - Dec 13
93034,2020-12-13,145267,HERITAGE HEALTH-PANA,1000 EAST SIXTH STREET ROAD,PANA,IL,62557,Y,Y,1.0,4.0,0.0,83.0,,29.0,3.0,27.0,3.0,19.0,128.0,65.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,1.0,4.0,,1.0,67.0,0.0,10.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,46.2,1276.9,292.3,22.9,Christian,N,N,POINT (-89.066722 39.382967),Week 30 - Dec 13
93045,2020-12-13,145271,HERITAGE HEALTH-LITCHFIELD,628 SOUTH ILLINOIS STREET,LITCHFIELD,IL,62056,Y,Y,1.0,2.0,1.0,7.0,,7.0,1.0,15.0,1.0,2.0,92.0,52.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,53.0,67.0,,5.0,18.0,0.0,3.0,0.0,0.0,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,,,,,19.2,19.2,134.6,38.5,28.6,Montgomery,N,N,POINT (-89.644263 39.170288),Week 30 - Dec 13
93073,2020-12-13,145482,SHERIDAN VILLAGE NRSG & RHB,5838 NORTH SHERIDAN ROAD,CHICAGO,IL,60660,Y,Y,0.0,26.0,0.0,5.0,,6.0,0.0,27.0,0.0,17.0,191.0,157.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,30.0,0.0,10.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,0.0,0.0,31.8,108.3,340.0,Cook,N,N,POINT (-87.655337 41.988403),Week 30 - Dec 13
93085,2020-12-13,145295,APERION CARE MARSEILLES,578 WEST COMMERCIAL STREET,MARSEILLES,IL,61341,Y,Y,0.0,4.0,5.0,61.0,,10.0,0.0,151.0,0.0,36.0,103.0,68.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,1.0,32.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,73.5,0.0,897.1,529.4,59.0,LaSalle,Y,N,POINT (-88.718112 41.328786),Week 30 - Dec 13
93253,2020-12-13,145151,HERITAGE HEALTH-MENDOTA,1201 FIRST AVENUE,MENDOTA,IL,61342,Y,Y,0.0,0.0,2.0,59.0,,23.0,0.0,35.0,0.0,18.0,85.0,56.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,9.0,9.0,,2.0,58.0,0.0,16.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,35.7,0.0,1053.6,321.4,30.5,LaSalle,N,N,POINT (-89.108606 41.553981),Week 30 - Dec 13
93279,2020-12-13,145268,GLENVIEW TERRACE NURSING CTR,1511 GREENWOOD ROAD,GLENVIEW,IL,60025,Y,N,3.0,58.0,0.0,22.0,,19.0,2.0,70.0,0.0,8.0,314.0,236.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,224.0,405.0,,3.0,31.0,0.0,0.0,0.0,1.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,93.2,33.9,36.4,Cook,N,N,POINT (-87.839479 42.082547),Week 30 - Dec 13
93360,2020-12-13,145495,MEDINA NURSING CENTER,402 SOUTH CENTER STREET,DURAND,IL,61024,Y,Y,0.0,0.0,0.0,43.0,,0.0,0.0,14.0,0.0,6.0,74.0,55.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,22.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,781.8,109.1,14.0,Winnebago,N,N,POINT (-89.332064 42.43604),Week 30 - Dec 13
93437,2020-12-13,145029,ASCENSION VILLA FRANCISCAN,210 NORTH SPRINGFIELD AVENUE,JOLIET,IL,60435,Y,Y,1.0,66.0,10.0,88.0,,1.0,0.0,34.0,0.0,17.0,154.0,79.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,9.0,57.0,0.0,6.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,126.6,0.0,1113.9,215.2,19.3,Will,Y,N,POINT (-88.13760600000002 41.525737),Week 30 - Dec 13
93448,2020-12-13,145457,ST VINCENT'S HOME,1440 NORTH 10TH STREET,QUINCY,IL,62301,Y,Y,1.0,28.0,0.0,61.0,,17.0,2.0,39.0,1.0,14.0,90.0,53.0,,,,,N,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,32.0,0.0,16.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,18.9,1150.9,264.2,23.0,Adams,N,N,POINT (-91.400139 39.948897),Week 30 - Dec 13
93481,2020-12-13,145582,ALDEN ESTATES OF NAPERVILLE,1525 SOUTH OXFORD LANE,NAPERVILLE,IL,60565,Y,Y,0.0,11.0,0.0,4.0,,17.0,0.0,12.0,0.0,2.0,203.0,104.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,11.0,0.0,18.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,38.5,19.2,50.0,DuPage,N,N,POINT (-88.123734 41.743795),Week 30 - Dec 13
93504,2020-12-13,145424,LANDMARK OF RICHTON PARK REHAB & NSG CTR,22660 SOUTH CICERO AVENUE,RICHTON PARK,IL,60471,Y,N,0.0,25.0,0.0,68.0,,3.0,11.0,55.0,11.0,46.0,294.0,177.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,176.0,102.0,,1.0,45.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,15.0,0.0,Y,Y,0.0,62.1,384.2,259.9,67.6,Cook,N,N,,Week 30 - Dec 13
93552,2020-12-13,145248,APERION CARE MORTON VILLA,190 EAST QUEENWOOD ROAD,MORTON,IL,61550,N,,0.0,2.0,0.0,43.0,,0.0,0.0,19.0,0.0,9.0,106.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,29.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,573.3,120.0,20.9,Tazewell,,,POINT (-89.470321 40.590561),Week 30 - Dec 13
93591,2020-12-13,145473,SYMPHONY OF ORCHARD VALLEY,2330 WEST GALENA BOULEVARD,AURORA,IL,60506,Y,Y,0.0,19.0,0.0,90.0,,7.0,0.0,43.0,0.0,25.0,203.0,107.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,3.0,9.0,,2.0,51.0,0.0,6.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,841.1,233.6,27.8,Kane,N,N,POINT (-88.373801 41.765047),Week 30 - Dec 13
93613,2020-12-13,145286,HERITAGE HEALTH-STAUNTON,215 WEST PENNSYLVANIA AVENUE,STAUNTON,IL,62088,Y,Y,0.0,3.0,6.0,30.0,,9.0,0.0,9.0,0.0,6.0,84.0,43.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,43.0,56.0,,2.0,17.0,0.0,25.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,139.5,0.0,697.7,139.5,20.0,Macoupin,Y,N,POINT (-89.789133 39.016144),Week 30 - Dec 13
93624,2020-12-13,145602,"VILLAGE AT VICTORY LAKES, THE",1055 EAST GRAND AVENUE,LINDENHURST,IL,60046,Y,Y,0.0,5.0,5.0,43.0,,18.0,3.0,42.0,2.0,6.0,120.0,53.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,1.0,33.0,0.0,21.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,94.3,37.7,811.3,113.2,14.0,Lake,Y,N,POINT (-88.055363 42.41542100000001),Week 30 - Dec 13
93653,2020-12-13,145344,LIBERTYVILLE MANOR EXT CARE,610 PETERSON ROAD,LIBERTYVILLE,IL,60048,Y,Y,0.0,3.0,0.0,29.0,,22.0,0.0,36.0,0.0,15.0,174.0,34.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,31.0,167.0,,0.0,17.0,0.0,21.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,852.9,441.2,51.7,Lake,N,N,POINT (-87.974468 42.30611300000001),Week 30 - Dec 13
93658,2020-12-13,145579,PROCTOR COM HSP SK N CENTER,5409 NORTH KNOXVILLE AVENUE,PEORIA,IL,61614,Y,Y,0.0,0.0,4.0,5.0,,1.0,0.0,0.0,0.0,0.0,43.0,19.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,5.0,12.0,0.0,5.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,210.5,0.0,263.2,0.0,0.0,Peoria,Y,N,POINT (-89.593254 40.752496),Week 30 - Dec 13
93805,2020-12-13,145604,HEARTLAND OF HENRY,1650 INDIAN TOWN ROAD,HENRY,IL,61537,Y,Y,0.0,0.0,0.0,3.0,,8.0,0.0,22.0,0.0,1.0,94.0,55.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,50.0,126.0,,0.0,3.0,0.0,9.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,54.5,18.2,33.3,Marshall,N,N,,Week 30 - Dec 13
93852,2020-12-13,145429,WENTWORTH REHAB & HCC,201 WEST 69TH STREET,CHICAGO,IL,60621,Y,Y,0.0,17.0,0.0,24.0,,21.0,1.0,16.0,0.0,7.0,300.0,165.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,3.0,25.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,145.5,42.4,29.2,Cook,N,N,POINT (-87.63025 41.769077),Week 30 - Dec 13
93855,2020-12-13,145446,MARIGOLD REHABILITATION HCC,275 EAST CARL SANDBURG DRIVE,GALESBURG,IL,61401,Y,Y,1.0,15.0,1.0,121.0,,8.0,3.0,58.0,3.0,27.0,172.0,89.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,46.0,,1.0,54.0,0.0,4.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,11.2,33.7,1359.6,303.4,22.3,Knox,N,N,POINT (-90.366004 40.976622),Week 30 - Dec 13
93861,2020-12-13,145618,SALEM VILLAGE NURSING & REHAB,1314 ROWELL AVENUE,JOLIET,IL,60433,Y,Y,0.0,11.0,0.0,54.0,,12.0,0.0,20.0,0.0,4.0,272.0,145.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,3.0,62.0,0.0,9.0,0.0,1.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,372.4,27.6,7.4,Will,N,N,POINT (-88.061574 41.499603),Week 30 - Dec 13
93936,2020-12-13,145183,COLONIAL MANOR,620 WARRINGTON AVENUE,DANVILLE,IL,61832,Y,Y,0.0,4.0,0.0,49.0,,20.0,0.0,27.0,0.0,7.0,90.0,50.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,76.0,,0.0,35.0,0.0,26.0,0.0,0.0,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,980.0,140.0,14.3,Vermilion,N,N,POINT (-87.654952 40.125515),Week 30 - Dec 13
93941,2020-12-13,145126,ALDEN LINCOLN REHAB & H C CTR,504 WEST WELLINGTON AVENUE,CHICAGO,IL,60657,Y,Y,0.0,13.0,0.0,23.0,,2.0,0.0,18.0,0.0,6.0,96.0,78.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,2.0,,2.0,8.0,0.0,4.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,294.9,76.9,26.1,Cook,N,N,POINT (-87.642264 41.936534),Week 30 - Dec 13
93979,2020-12-13,145208,BRIDGEVIEW HEALTH CARE CENTER,8100 SOUTH HARLEM AVENUE,BRIDGEVIEW,IL,60455,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook,,,POINT (-87.799564 41.743905),Week 30 - Dec 13
94010,2020-12-13,145452,HERITAGE HEALTH-DWIGHT,300 EAST MAZON AVENUE,DWIGHT,IL,60420,Y,N,0.0,0.0,1.0,2.0,,0.0,0.0,4.0,0.0,0.0,92.0,61.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,123.0,153.0,,1.0,22.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,16.4,0.0,32.8,0.0,0.0,Livingston,N,N,POINT (-88.423091 41.094152),Week 30 - Dec 13
94032,2020-12-13,145358,ARISTA HEALTHCARE,1136 NORTH MILL STREET,NAPERVILLE,IL,60563,Y,Y,0.0,8.0,0.0,84.0,,0.0,0.0,23.0,0.0,4.0,153.0,72.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,25.0,0.0,10.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,1166.7,55.6,4.8,DuPage,N,N,POINT (-88.154495 41.788917),Week 30 - Dec 13
94063,2020-12-13,145541,PRESENCE SAINTS MARY & ELIZABETH MEDICAL CENTER,1431 NORTH CLAREMONT AVENUE,CHICAGO,IL,60622,N,,0.0,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook,,,POINT (-87.685905 41.906796),Week 30 - Dec 13
94200,2020-12-13,145514,EFFINGHAM REHAB & HEALTH C CTR,1610 NORTH LAKEWOOD DRIVE,EFFINGHAM,IL,62401,Y,Y,0.0,0.0,0.0,31.0,,0.0,4.0,15.0,4.0,7.0,62.0,25.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,5.0,21.0,0.0,0.0,0.0,0.0,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,,,,,0.0,160.0,1240.0,280.0,22.6,Effingham,N,N,POINT (-88.564858 39.125319),Week 30 - Dec 13
94451,2020-12-13,145136,AUBURN REHAB & HCC,304 MAPLE AVENUE,AUBURN,IL,62615,Y,Y,0.0,4.0,0.0,39.0,,0.0,0.0,7.0,0.0,3.0,65.0,51.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,49.0,,0.0,16.0,0.0,2.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,764.7,58.8,7.7,Sangamon,N,N,POINT (-89.744068 39.594881),Week 30 - Dec 13
94477,2020-12-13,145436,APOSTOLIC CHRISTIAN RESTMOR,1500 PARKSIDE AVENUE,MORTON,IL,61550,Y,Y,0.0,2.0,6.0,65.0,,2.0,4.0,24.0,3.0,7.0,116.0,81.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,10.0,71.0,0.0,5.0,0.0,3.0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,74.1,37.0,802.5,86.4,10.8,Tazewell,Y,N,POINT (-89.45237 40.596491),Week 30 - Dec 13
94491,2020-12-13,145376,OAKVIEW NURSING & REHAB,1320 WEST 9TH STREET,MOUNT CARMEL,IL,62863,Y,Y,1.0,1.0,12.0,33.0,,21.0,1.0,17.0,0.0,0.0,90.0,67.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,17.0,15.0,,3.0,20.0,0.0,56.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,179.1,0.0,492.5,0.0,0.0,Wabash,Y,N,POINT (-87.778846 38.410908),Week 30 - Dec 13
